timestamp,helius_lookup_p95_ms,iamfaster_lookup_p95_ms
2026-03-04 17:00,0.5144,0.1271
2026-03-04 17:01,0.4285,0.1205
2026-03-04 17:02,0.4981,0.1696
2026-03-04 17:03,0.4679,0.1301
2026-03-04 17:04,0.4911,0.1339
2026-03-04 17:05,0.5234,0.2716
2026-03-04 17:06,0.4322,0.1626
2026-03-04 17:07,0.5622,0.1802
2026-03-04 17:08,0.5873,0.1339
2026-03-04 17:09,0.459,0.1226
2026-03-04 17:10,0.5251,0.1682
2026-03-04 17:11,0.8973,0.1648
2026-03-04 17:12,0.5357,0.1433
2026-03-04 17:13,0.5634,0.1474
2026-03-04 17:14,0.5188,0.1263
2026-03-04 17:15,0.4654,0.1234
2026-03-04 17:16,0.5405,0.1722
2026-03-04 17:17,0.4935,0.151
2026-03-04 17:18,0.473,0.1657
2026-03-04 17:19,0.8721,0.1349
2026-03-04 17:20,0.4864,0.1222
2026-03-04 17:21,0.4586,0.3279
2026-03-04 17:22,0.4454,0.1274
2026-03-04 17:23,1.126,0.1295
2026-03-04 17:24,0.5536,0.1502
2026-03-04 17:25,0.4514,0.1325
2026-03-04 17:26,0.4311,0.1426
2026-03-04 17:27,0.8412,0.1267
2026-03-04 17:28,0.4711,0.1298
2026-03-04 17:29,0.4723,0.1385
2026-03-04 17:30,0.5267,0.3389
2026-03-04 17:31,0.4976,0.1411
2026-03-04 17:32,0.4992,0.1219
2026-03-04 17:33,0.4795,0.1403
2026-03-04 17:34,0.5259,0.2897
2026-03-04 17:35,0.4945,0.1657
2026-03-04 17:36,0.5212,0.1225
2026-03-04 17:37,0.8567,0.1815
2026-03-04 17:38,0.4662,0.1549
2026-03-04 17:39,0.537,0.1276
2026-03-04 17:40,0.4952,0.1241
2026-03-04 17:41,0.542,0.145
2026-03-04 17:42,0.4888,0.1524
2026-03-04 17:43,0.5379,0.1353
2026-03-04 17:44,0.4663,0.1461
2026-03-04 17:45,0.5135,0.1243
2026-03-04 17:46,0.5041,0.1413
2026-03-04 17:47,0.9006,0.123
2026-03-04 17:48,1.2574,0.1461
2026-03-04 17:49,0.6355,0.1238
2026-03-04 17:50,0.3828,0.1218
2026-03-04 17:51,0.5105,0.1349
2026-03-04 17:52,0.5693,0.1218
2026-03-04 17:53,0.4679,0.125
2026-03-04 17:54,0.4996,0.3115
2026-03-04 17:55,0.5007,0.151
2026-03-04 17:56,0.4639,0.1273
2026-03-04 17:57,0.4973,0.1476
2026-03-04 17:58,0.4674,0.1339
